defense,level,f1,f1_ci,by,n,top5,top10,entropy,dDownB,dDownB_q1,dDownB_q3,dUpB,dT,dT_q1,dT_q3,n_pages
httpos,vlow,0.9992005017118579,0.0003232756317466353,robustfp,3,0.9993999999880012,0.9996999999940006,6.629656100896252,0.024,0.015,0.03,0.582,0.062,0.043,0.099,25.0
httpos,low,0.9997026065721717,0.0002741420845277671,robustfp,3,0.9998000099950007,0.9998000099950007,6.6380153700576505,0.031,0.023,0.036,0.613,0.129,0.093,0.166,25.0
httpos,lomid,0.9996984309223115,2.449802217537537e-06,robustfp,3,0.9996999999940006,0.9996999999940006,6.637309425761057,0.034,0.025,0.039,0.682,0.215,0.165,0.264,25.0
httpos,mid1,0.9996998941941874,0.00027802495629973903,robustfp,3,0.9997000299910015,0.9998000099950007,6.632347083435459,0.035,0.028,0.042,0.776,0.199,0.176,0.282,25.0
httpos,mid2,0.9996998941941874,0.0002759108252292957,robustfp,3,0.9996999699969997,0.9996999699969997,6.631750502874208,0.04,0.032,0.051,1.091,0.705,0.501,0.855,25.0
httpos,high,0.9799243690611447,0.004358847902669129,robustfp,3,0.998299889977,0.9991999499890002,6.385236881303045,0.046,0.039,0.055,1.741,1.515,1.08,2.096,25.0
llama,vlow,0.9851819227798472,0.0008966092040676494,robustfp,3,0.9965000999200101,0.9978000799480068,6.473320093877368,0.0,0.0,0.0,0.0,-0.008,-0.073,0.015,25.0
llama,low,0.9041168365625153,0.0007857165331360882,xgboost,3,0.9800001895810456,0.9883002697390316,6.0506826064261325,0.383,0.212,0.731,0.357,0.124,0.029,0.258,25.0
llama,lomid,0.9076762446690948,0.006769652380020999,robustfp,3,0.9809999596240369,0.9901997998240136,5.609586896625412,0.68,0.35,0.846,0.581,0.272,0.165,0.378,25.0
llama,mid1,0.8818705563204978,0.0036778304481676323,robustfp,3,0.9710998994320548,0.9848000096950308,5.50772134674316,0.83,0.463,1.099,0.75,0.33,0.118,0.565,25.0
llama,mid2,0.783639342028423,0.014392315873220613,robustfp,3,0.9376004487071382,0.9627999392620725,4.904510559764756,1.552,0.83,1.712,1.29,0.378,0.27,0.508,25.0
llama,high,0.7582809969541703,0.0035089725259551804,robustfp,3,0.9274998885611416,0.9609999692230771,4.390287699428452,2.408,2.005,2.796,2.121,0.557,0.443,0.741,25.0
nop,mid1,0.999304612095924,0.0004164701630313285,robustfp,3,0.9997000299910015,0.9997000299910015,6.6385586492429205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
srvalpaca,vlow,0.994305637308078,0.0019991122505413042,robustfp,3,0.9994000299850021,0.9996000499870022,6.561228810128821,0.174,0.142,0.198,0.0,-0.001,-0.032,0.025,25.0
srvalpaca,low,0.9498000962285901,0.004867874010914057,robustfp,3,0.9895001497750254,0.9953000099050097,5.924019696441544,1.493,1.018,1.854,0.0,0.387,0.262,0.604,25.0
srvalpaca,lomid,0.7077219865521324,0.00972814540832861,robustfp,3,0.887099837758221,0.9261999085331448,4.206748149918767,3.329,2.491,5.691,0.0,1.004,0.663,1.553,25.0
srvalpaca,mid1,0.03264508594547054,0.005682338934419003,xgboost,3,0.13170045258875018,0.22039966444154913,1.3310209732525076,10.134,6.5,12.373,0.0,1.725,1.223,3.794,25.0
srvh2ps1p,vlow,0.994202107120198,0.00041815354651224376,robustfp,3,0.9990999999820018,0.9996999699969997,6.504152170943471,0.014,0.002,0.097,0.047,0.623,0.564,0.796,25.0
srvh2ps1p,low,0.9929188188319461,0.0001993846277112875,robustfp,3,0.9986999299810005,0.9991999499890002,6.442988308397187,0.011,0.006,0.028,0.063,0.609,0.469,0.696,25.0
srvh2ps1p,lomid,0.9854479815615695,0.0021183460940796695,robustfp,3,0.9973999199560027,0.9981999099730009,6.3406291923197635,0.12,0.038,0.283,0.146,0.661,0.516,0.804,25.0
srvh2ps1p,mid1,0.9626960466483788,0.0018165589420416047,robustfp,3,0.9885001397560272,0.9916001798140223,6.148554327216996,0.134,0.068,0.283,0.23,0.597,0.511,0.731,25.0
srvh2ps1p,mid2,0.9079181976399594,0.0019967713297984876,robustfp,3,0.952599639088084,0.9590996592160715,5.685790719715012,0.597,0.291,0.81,0.592,0.679,0.575,0.878,25.0
srvh2ps1p,high,0.16900149233364017,0.005771779719520582,robustfp,3,0.3399991168882935,0.4339993687431131,1.1364895325176443,0.843,0.551,1.332,1.162,1.498,1.136,2.068,25.0
srvh2ps1p,vhigh,0.015517173521727885,0.0009233136280024856,xgboost,3,0.06909965141685133,0.12519980252374366,1.0885157407594248,2.259,1.057,3.701,1.886,2.523,1.428,4.468,25.0
srvtamaraw,vlow,0.9982025194970188,0.0007292677222205648,robustfp,3,0.999300019984002,0.9996000199900014,6.601915013916545,0.273,0.221,0.311,0.0,0.01,0.001,0.028,25.0
srvtamaraw,low,0.8101526266251908,0.00911730040957098,robustfp,3,0.9505995890530864,0.9723998794600517,4.702582699186855,2.364,2.022,2.97,0.0,0.737,0.572,0.876,25.0
srvtamaraw,lomid,0.05490405052716085,0.007166002114593297,xgboost,3,0.17656768455594266,0.2655849366272303,1.2564146492544142,5.839,5.168,6.806,0.0,2.56,2.15,3.108,25.0
srvtamaraw,mid1,0.01968884588647597,0.0007485030584880552,xgboost,3,0.0846268656716418,0.1492537313432836,0.7324609578919933,10.508,9.606,11.384,0.0,4.52,3.857,5.775,25.0
tamaraw,vlow,0.8106991225663901,0.018468885259848886,robustfp,3,0.8974981481351495,0.9303985287550951,5.178205631303045,0.207,0.096,1.053,0.863,0.664,0.434,0.959,25.0
tamaraw,low,0.6133718153533989,0.008717495503091834,robustfp,3,0.7317009445395648,0.7910003657834289,3.399960420655462,0.305,0.038,0.744,1.491,0.862,0.506,1.185,25.0
tamaraw,lomid,0.5749175036673493,0.011397862578822226,robustfp,3,0.6757011034036817,0.7410008247375428,3.327987971034897,0.44,0.141,0.897,2.495,0.958,0.671,1.252,25.0
tamaraw,mid1,0.34515170363974573,0.0075425773196183595,robustfp,3,0.48660000973102707,0.5631995413098599,1.8117888590964204,0.977,0.125,4.16,4.02,1.137,0.68,1.451,25.0
tamaraw,mid2,0.17500300057377796,0.007757265077137361,robustfp,3,0.3199006163363787,0.4141010681752039,0.9072371941082205,2.181,0.666,8.412,6.582,1.148,0.816,1.804,25.0
tamaraw,high,0.13270335761072916,0.00861377194442427,xgboost,3,0.26025490994453543,0.3401337583932302,1.3815609436504568,2.851,0.935,8.136,7.172,1.301,0.979,1.733,25.0
